#Clause,Classic CC,4 threads,128 threads,1024 threads,8 threads,16 threads,32 threads,64 threads,256 threads,512 threads,,2048 threads,4096 threads,8192 threads,16384 threads
128,"0,03","0,0136","0,0004","0,0005","0,0073","0,029","0,0108","0,0049","0,0002","0,0003",,"0,0004","0,0003","0,0003","0,0005"
256,"0,06","0,0309","0,0215","0,0006","0,0224","0,064","0,0220","0,0199","0,0004","0,0006",,"0,0007","0,0006","0,0003","0,0009"
512,"0,127","0,1395","0,0943","0,0044","0,1094","0,128","0,0763","0,0929","0,0393","0,0684",,"0,0044","0,0040","0,0017","0,0040"
1024,"0,309","0,2271","0,0789","0,0783","0,1328","0,264","0,0790","0,0950","0,0682","0,0733",,"0,0133","0,0110","0,0054","0,0134"
2048,"0,592","0,2725","0,1600","0,1967","0,3547","0,381","0,1720","0,1831","0,1543","0,1575",,"0,2439","0,0485","0,0204","0,0212"
4096,"1,179","0,8668","0,3725","0,3732","0,8239","0,51","0,4061","0,3930","0,3713","0,3673",,"0,3734","0,4227","0,1035","0,0822"
8192,"2,712","2,4027","0,9725","0,9700","1,9565","1,186","1,0243","1,0055","0,9682","0,9609",,"0,9747","1,1118","0,9952","0,3535"
16384,"6,507","6,5320","2,8630","2,7989","4,7642","3,287","2,9417","2,8984","2,7688","2,8623",,"2,8680","2,8191","2,9022","2,8547"
32768,"21,929","19,8379","13,9582","13,7665","18,1632","14,868","14,1999","14,0301","14,1987","13,9511",,"14,1042","13,947","13,9333","14,0164"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,2 threads,,,,,,,,,,,,,
,,"0,03",,,,,,,,,,,,,
,,"0,097",,,,,,,,,,,,,
,,"0,21",,,,,,,,,,,,,
,,"0,489",,,,,,,,,,,,,
,,"0,89",,,,,,,,,,,,,
,,"0,957",,,,,,,,,,,,,
,,"2,135",,,,,,,,,,,,,
,,"4,858",,,,,,,,,,,,,
,,"20,418",,,,,,,,,,,,,
